Number of parameters in output net: 72
Number of parameters in hypernet: 646
Number of training points: 1280
Number of test points: 320
Epoch 2400 | Time 0.097 (0.092) | NFE-F 32.5 | NFE-B 39.7 | Test Acc 0.8313 | Train Acc 0.8313
Epoch 2500 | Time 0.089 (0.093) | NFE-F 32.2 | NFE-B 40.2 | Test Acc 0.8156 | Train Acc 0.8375
Epoch 2600 | Time 0.107 (0.094) | NFE-F 32.2 | NFE-B 40.9 | Test Acc 0.8187 | Train Acc 0.8414
Epoch 2700 | Time 0.100 (0.096) | NFE-F 32.2 | NFE-B 42.3 | Test Acc 0.8156 | Train Acc 0.8375
Epoch 2800 | Time 0.079 (0.095) | NFE-F 32.3 | NFE-B 41.6 | Test Acc 0.8187 | Train Acc 0.8445
Epoch 2900 | Time 0.088 (0.099) | NFE-F 32.1 | NFE-B 43.8 | Test Acc 0.8187 | Train Acc 0.8484
Epoch 3000 | Time 0.109 (0.100) | NFE-F 32.2 | NFE-B 44.7 | Test Acc 0.8125 | Train Acc 0.8508
Epoch 3100 | Time 0.108 (0.102) | NFE-F 32.2 | NFE-B 45.5 | Test Acc 0.8250 | Train Acc 0.8562
Epoch 3200 | Time 0.099 (0.101) | NFE-F 32.1 | NFE-B 44.8 | Test Acc 0.8094 | Train Acc 0.8523
Epoch 3300 | Time 0.100 (0.102) | NFE-F 32.1 | NFE-B 45.9 | Test Acc 0.8156 | Train Acc 0.8547
Epoch 3400 | Time 0.099 (0.105) | NFE-F 32.2 | NFE-B 47.3 | Test Acc 0.8187 | Train Acc 0.8516
Epoch 3500 | Time 0.078 (0.106) | NFE-F 32.3 | NFE-B 47.6 | Test Acc 0.8219 | Train Acc 0.8531
Epoch 3600 | Time 0.108 (0.107) | NFE-F 32.3 | NFE-B 48.8 | Test Acc 0.8313 | Train Acc 0.8578
